num,(re)tries,success,overallsuccess,overallsuccesspercent,overhead
1,15,9,1,100,1.67
2,29,18,1,100,1.61
3,43,27,1,100,1.59
4,57,36,1,100,1.58
5,73,45,1,100,1.62
6,87,54,1,100,1.61
7,103,63,1,100,1.63
8,116,72,1,100,1.61
9,130,81,1,100,1.60
10,143,90,1,100,1.59
