num,(re)tries,success,overallsuccess,overallsuccesspercent,overhead
1,14,9,1,100,1.56
2,31,18,1,100,1.72
3,54,27,1,100,2.00
4,72,36,1,100,2.00
5,84,45,1,100,1.87
6,97,54,1,100,1.80
7,108,63,1,100,1.71
8,124,72,1,100,1.72
9,140,81,1,100,1.73
10,162,90,1,100,1.80
