num,(re)tries,success,overallsuccess,overallsuccesspercent,overhead
1,12,9,1,100,1.33
2,26,18,1,100,1.44
3,39,27,1,100,1.44
4,50,36,1,100,1.39
5,63,45,1,100,1.40
