num,(re)tries,success,overallsuccess,overallsuccesspercent,overhead
1,9,9,1,100,1.00
2,19,18,1,100,1.05
3,28,27,1,100,1.04
4,39,36,1,100,1.08
5,53,43,0,80,1.23
6,62,52,1,83,1.19
7,71,61,1,86,1.16
8,80,70,1,88,1.14
9,89,79,1,89,1.13
10,99,88,1,90,1.13
