num,(re)tries,success,overallsuccess,overallsuccesspercent,overhead
1,9,9,1,100,1.00
2,18,18,1,100,1.00
3,27,27,1,100,1.00
4,36,36,1,100,1.00
5,45,45,1,100,1.00
6,54,54,1,100,1.00
7,63,63,1,100,1.00
8,72,72,1,100,1.00
9,81,81,1,100,1.00
10,90,90,1,100,1.00
11,99,99,1,100,1.00
12,108,108,1,100,1.00
13,117,117,1,100,1.00
14,126,126,1,100,1.00
15,135,135,1,100,1.00
16,144,144,1,100,1.00
17,153,153,1,100,1.00
18,162,162,1,100,1.00
19,171,171,1,100,1.00
20,180,180,1,100,1.00
