num,(re)tries,success,overallsuccess,overallsuccesspercent,overhead
1,13,9,1,100,1.44
2,31,18,0,50,1.72
3,42,27,1,66,1.56
4,56,36,1,75,1.56
5,74,42,0,60,1.76
6,95,49,0,50,1.94
7,108,58,1,57,1.86
8,125,65,0,50,1.92
9,138,74,1,55,1.86
10,156,83,1,60,1.88
