num,(re)tries,success,overallsuccess,overallsuccesspercent,overhead
1,15,9,1,100,1.67
2,29,18,1,100,1.61
3,40,27,1,100,1.48
4,51,36,1,100,1.42
5,68,43,0,80,1.58
6,88,50,0,67,1.76
7,109,57,0,57,1.91
8,131,66,1,62,1.98
9,145,75,1,67,1.93
10,159,84,1,70,1.89
