num,(re)tries,success,overallsuccess,overallsuccesspercent,overhead
1,12,9,1,100,1.33
2,24,18,1,100,1.33
3,35,27,1,100,1.30
4,49,36,1,100,1.36
5,61,45,1,100,1.36
6,71,54,1,100,1.31
7,81,63,1,100,1.29
8,92,72,1,100,1.28
9,105,81,1,100,1.30
10,115,90,1,100,1.28
11,127,99,1,100,1.28
12,141,108,1,100,1.31
13,155,117,1,100,1.32
14,169,126,1,100,1.34
15,179,135,1,100,1.33
16,189,144,1,100,1.31
17,202,153,1,100,1.32
18,214,162,1,100,1.32
19,224,171,1,100,1.31
20,235,180,1,100,1.31
