num,(re)tries,success,overallsuccess,overallsuccesspercent,overhead
1,22,9,1,100,2.44
2,31,18,1,100,1.72
3,42,27,1,100,1.56
4,48,27,0,75,1.78
5,73,36,1,80,2.03
6,86,45,1,83,1.91
